书籍总数为：23
编号      标题                作者                等级           出版社              ISBN                页数      
1         百年孤独            加西亚·马尔克斯    ★★★★☆     人民文学出版社      978-7-02-005111-0   368       
2         红楼梦              曹雪芹              ★★★★★     上海古籍出版社      978-7-532-00804-8   1200      
3         活着                余华                ★★★★☆     作家出版社          978-7-5062-4947-3   336       
4         小王子              圣埃克苏佩里        ★★★★☆     译林出版社          978-7-5399-2008-0   96        
5         1984                乔治·奥威尔        ★★★★★     译林出版社          978-7-5399-2009-7   328       
6         6                   6                   6              6                   6                   6         
7         哈利波特            JK.LOlin            *****          cbsha               saj                 saa       
9         雷雨                陆                  *****          撒旦                12321=3213          23123     
1         1                   1                   1              1                   1                   1         
1         1                   1                   1              1                   1                   1         
1         1                   1                   1              1                   1                   1         
5         5                   6                   6              6                   6                   6         
1         1                   1                   1              1                   1                   1         
1         1                   1                   1              1                   1                   1         
1         1                   1                   1              1                   1                   1         
1         1                   1                   1              1                   1                   1         
1         1                   1                   1              1                   11                  1         
2         2                   2                   2              2                   2                   2         
1         1                   1                   1              1                   1                   1         
1         1                   1                   11             1                   1                   1         
1         1                   1                   1              1                   1                   1         
1         1                   1                   1              1                   1                   1         
1         1                   1                   1              1                   1                   1         
